QUEEN,Dray,6.5,1.788
SPEED,Matt,9.0,2.025
FLEX,Parker,1.0,0.188
,,,
OBJECTIVE,Turese,6.0,0.75
,,22.5,4.751

QUEEN,Dan,5.0,1.375
SPEED,Felix,8.0,1.8
FLEX,Mo,4.0,0.75
FLEX,Coki,4.0,0.75
OBJECTIVE,Chexx,3.0,0.375
,,24.0,5.05

QUEEN,Ryan,6.5,1.788
SPEED,Scott,7.5,1.688
FLEX,Jasmine,4.0,0.75
FLEX,Drew,6.0,1.125
OBJECTIVE,AndrewR,1.0,0.125
,,25.0,5.476

QUEEN,Josh,9.0,2.475
SPEED,Sam,6.0,1.35
FLEX,James,1.0,0.188
FLEX,Blue Chris,8.0,1.5
OBJECTIVE,Darell,1.0,0.125
,,25.0,5.638

QUEEN,Mitch,6.5,1.788
SPEED,Jess,6.0,1.35
FLEX,Eva,1.0,0.188
FLEX,Blee,8.0,1.5
OBJECTIVE,Mike,4.0,0.5
,,25.5,5.326

