QUEEN,Blue Chris,6.0,1.65
SPEED,Brian M,5.5,1.238
FLEX,Jasmine,4.0,0.75
,,,
OBJECTIVE,Bryce,3.0,0.375
,,18.5,4.013

QUEEN,Chaz,5.0,1.375
SPEED,Matt,9.0,2.025
FLEX,Dray,8.5,1.594
,,,
OBJECTIVE,Cooper,1.0,0.125
,,23.5,5.119

QUEEN,Josh,9.0,2.475
SPEED,Ryan,8.0,1.8
FLEX,Turese,3.5,0.656
FLEX,Rebecca,3.0,0.562
OBJECTIVE,Eva,2.0,0.25
,,25.5,5.743

QUEEN,Jess,6.9,1.898
SPEED,Blee,8.0,1.8
FLEX,Mo,3.0,0.562
FLEX,Drew,6.0,1.125
OBJECTIVE,Aaron,2.5,0.312
,,26.4,5.697

QUEEN,Mitch,7.0,1.925
SPEED,Keoni,4.0,0.9
FLEX,Sam,7.0,1.312
,,,
OBJECTIVE,Felix,7.0,0.875
,,25.0,5.012

